"","artist","song","stay","full"
14439,"The Rolling Stones","Have You Seen Your Mother, Baby, Standing In The Shadow?",7,"The Rolling Stones Have You Seen Your Mother, Baby, Standing In The Shadow?"
14775,"The Hollies","Stop Stop Stop",10,"The Hollies Stop Stop Stop"
15575,"Tom Jones","Green, Green Grass Of Home",12,"Tom Jones Green, Green Grass Of Home"
15797,"The Kinks","Deadend Street",4,"The Kinks Deadend Street"
16289,"Herman's Hermits","There's A Kind Of Hush",12,"Herman's Hermits There's A Kind Of Hush"
16482,"The Beatles","Strawberry Fields Forever",9,"The Beatles Strawberry Fields Forever"
16484,"The Beatles","Penny Lane",10,"The Beatles Penny Lane"
18072,"The Hollies","Carrie-Anne",13,"The Hollies Carrie-Anne"
18180,"Herman's Hermits","Don't Go Out Into The Rain (You're Going To Melt)",7,"Herman's Hermits Don't Go Out Into The Rain (You're Going To Melt)"
18663,"The Beatles","Baby You're A Rich Man",5,"The Beatles Baby You're A Rich Man"
19385,"The Rolling Stones","We Love You",6,"The Rolling Stones We Love You"
20288,"Dusty Springfield","What's It Gonna Be",8,"Dusty Springfield What's It Gonna Be"
20444,"The Beatles","Hello Goodbye",11,"The Beatles Hello Goodbye"
20685,"The Dave Clark Five","Everybody Knows",8,"The Dave Clark Five Everybody Knows"
20876,"The Rolling Stones","She's A Rainbow",7,"The Rolling Stones She's A Rainbow"
21073,"Cream","Sunshine Of Your Love",26,"Cream Sunshine Of Your Love"
21767,"Manfred Mann","Mighty Quinn (Quinn The Eskimo)",11,"Manfred Mann Mighty Quinn (Quinn The Eskimo)"
22195,"The Beatles","The Inner Light",1,"The Beatles The Inner Light"
23161,"The Rolling Stones","Jumpin' Jack Flash",12,"The Rolling Stones Jumpin' Jack Flash"
23797,"The Moody Blues","Tuesday Afternoon (Forever Afternoon)",11,"The Moody Blues Tuesday Afternoon (Forever Afternoon)"
24483,"The Rolling Stones","Street Fighting Man",6,"The Rolling Stones Street Fighting Man"
24537,"The Beatles","Revolution",11,"The Beatles Revolution"
25661,"Dusty Springfield","Son-Of-A Preacher Man",12,"Dusty Springfield Son-Of-A Preacher Man"
27695,"The Hollies","Sorry Suzanne",8,"The Hollies Sorry Suzanne"
28470,"The Beatles","The Ballad Of John And Yoko",9,"The Beatles The Ballad Of John And Yoko"
28887,"Dusty Springfield","Willie & Laura Mae Jones",3,"Dusty Springfield Willie & Laura Mae Jones"
30219,"The Beatles","Something",6,"The Beatles Something"
30222,"The Beatles","Come Together/Something",16,"The Beatles Come Together/Something"
30582,"Dusty Springfield","A Brand New Me",12,"Dusty Springfield A Brand New Me"
31249,"Tom Jones","Without Love (There Is Nothing)",11,"Tom Jones Without Love (There Is Nothing)"
31287,"Lulu","Oh Me Oh My (I'm A Fool For You Baby)",14,"Lulu Oh Me Oh My (I'm A Fool For You Baby)"
