"","artist","song","lyrics"
10,"The Beatles","Something","You're making me wait like there's no tomorrow  
You're taking from me what I can't beg or borrow  
  
There's something that tells me that life has changed  
There's something that tells me this isn't a game  
There's something that tells me that you'll hit the floor  
There's something that tells me  
That you got everything you need but all you want is more  
  
You know there was dreams I had in my corner  
I made you a dollar, you gave a quarter  
  
There's something that tells me that life has changed  
There's something that tells me this isn't a game  
There's something that tells me that you'll hit the floor  
There's something that tells me  
That you got everything you need but all you want is more  
  
Yeah  
  
Yeah  
  
There's something that tells me that life has changed  
There's something that tells me this isn't a game  
There's something that tells me that you'll hit the floor  
There's something that tells me  
That you got everything you need but all you want is more

"
11,"The Beatles","Strawberry Fields Forever","Let me take you down,  
'cause I'm going to Strawberry Fields.  
Nothing is real and nothing to get hungabout.  
Strawberry Fields forever.  
  
Living is easy with eyes closed,  
Misunderstanding all you see.  
It's getting hard to be someone  
But it all works out,  
It doesn't matter much to me.  
  
Let me take you down,  
'cause I'm going to Strawberry Fields.  
Nothing is real and nothing to get hungabout.  
Strawberry Fields forever.  
  
No one I think is in my tree,  
I mean it must be high or low.  
That is you can't you know tune in  
But it's all right, that is  
I think it's not too bad.  
  
Let me take you down,  
'cause I'm going to Strawberry Fields.  
Nothing is real and nothing to get hungabout.  
Strawberry Fields forever.  
  
Always, no sometimes, think it's me,  
But you know I know when it's a dream.  
I think I know I mean a 'Yes'  
But it's all wrong, that is I think I disagree.  
  
Let me take you down,  
'cause I'm going to Strawberry Fields.  
Nothing is real and nothing to get hungabout.  
Strawberry Fields forever.  
Strawberry Fields forever.

"
12,"The Beatles","The Inner Light","Without going out of my door,  
I can know all things on earth  
without looking out of my window,  
I can know the ways of heaven.  
The farther one travels  
the less one knows  
the less one really knows.  
Without going out of your door,  
You can know all things on earth  
without looking out of your window,  
you can know the ways of heaven.  
The farther one travels  
the less one knows  
the less one really knows.  
Arrive without travelling,  
See all without looking,  
Do all without doing.

"
13,"The Beatles","Ticket To Ride","I think I'm gonna be sad,  
I think it's today, yeah.  
The girl that's driving me mad  
Is going away.  
She's got a ticket to ride,  
She's got a ticket to ride,  
She's got a ticket to ride,  
But she don't care.  
She said that living with me  
Is bringing her down yeah.  
For she would never be free  
When I was around.  
She's got a ticket to ride,  
She's got a ticket to ride,  
She's got a ticket to ride,  
But she don't care.  
I don't know why she's ridin' so high,  
She ought to think twice,  
She ought to do right by me.  
Before she gets to saying goodbye,  
She ought to think twice,  
She ought to do right by me.  
I think I'm gonna be sad,  
I think it's today yeah.  
The girl that's driving me mad  
Is going away, yeah.  
She's got a ticket to ride,  
She's got a ticket to ride,  
She's got a ticket to ride,  
But she don't care.  
I don't know why she's ridin' so high,  
She ought to think twice,  
She ought to do right by me.  
Before she gets to saying goodbye,  
She ought to think twice,  
She ought to do right by me.  
She said that living with me,  
Is bringing her down, yeah.  
For she would never be free  
When I was around.  
Ah, she's got a ticket to ride,  
She's got a ticket to ride,  
She's got a ticket to ride,  
But she don't care.  
My baby don't care, my baby don't care.  
My baby don't care, my baby don't care.  
My baby don't care, my baby don't care.

"
14,"The Beatles","We Can Work It Out","Try to see it my way,  
Do I have to keep on talking till I can't go on?  
While you see it your way,  
Run the risk of knowing that our love may soon be gone.  
  
We can work it out,  
We can work it out.  
  
Think of what you're saying.  
You can get it wrong and still you think that it's alright.  
Think of what I'm saying,  
We can work it out and get it straight, or say good night.  
  
We can work it out,  
We can work it out.  
  
Life is very short, and there's no time  
For fussing and fighting, my friend.  
I have always thought that it's a crime,  
So I will ask you once again.  
  
Try to see it my way,  
Only time will tell if I am right or I am wrong.  
While you see it your way  
There's a chance that we may fall apart before too long.  
  
We can work it out,  
We can work it out.  
  
Life is very short, and there's no time  
For fussing and fighting, my friend.  
I have always thought that it's a crime,  
So I will ask you once again.  
  
Try to see it my way,  
Only time will tell if I am right or I am wrong.  
While you see it your way  
There's a chance that we may fall apart before too long.  
We can work it out,  
We can work it out.

"
15,"The Beatles","What Goes On","What goes on in your mind?  
I think that I am falling down.  
What goes on in your mind?  
I think that I am upside down.  
Baby, be good, do what you should, you know it will work alright.  
Baby, be good, do what you should, you know it will be alright.  
  
I'm going up, and I'm going down.  
I'm going from side to side.  
See the bills, up in the sky,  
Somebody's cut their string in two.  
Baby, be good, do what you should, you know it will work alright.  
Baby, be good, do what you should, you know it will be alright.  
  
One minute born, one minute doomed,  
One minute up, one minute down.  
What goes on in your mind?  
I think that I am falling down.  
Baby, be good, do what you should, you know it will work alright.  
Baby, be good, do what you should, you know it will be alright.

"
16,"The Beatles","Yellow Submarine","In the town where I was born  
Lived a man, who sailed the sea  
And he told us of his life  
In the land of submarines  
So we sailed off to the sun  
Till we found a sea of green  
And we lived beneath the waves  
In our yellow submarine  
We all live in a yellow submarine  
Yellow submarine, a yellow submarine  
We all live in a yellow submarine  
Yellow submarine, a yellow submarine  
And our friends are all aboard  
Many more of them live next door  
And the band begins to play  
Oh, we all live in a yellow submarine  
A yellow submarine, a yellow submarine  
We all live in a yellow submarine  
A yellow submarine, a yellow submarine  
As we live a life of ease  
Everyone of us has all we need  
Sky of blue, a sea of green  
In our yellow submarine  
Oh, we all live in a yellow submarine  
A yellow submarine, a yellow submarine  
We all live in a yellow submarine  
A yellow submarine, a yellow submarine  
We all live in a yellow submarine  
A yellow submarine, a yellow submarine  
We all live in a yellow submarine  
A yellow submarine, a yellow submarine  

"
17,"The Dave Clark Five","Everybody Knows","Wish they hadn't seen him walk away,  
And heard me beg him stay, please stay.  
Why, why did we choose this crowded place,  
They all know it, cause I show it in my face.  
Everybody knows you said goodbye,  
Everybody knows we're through.  
Now they all can see the tears I cry,  
Running down my face for you.  
They all said it's too good to be true,  
He'll make a fool of you, one day.  
I just laughed and said our love was strong,  
But you left me, and they all know I was wrong.  
Everybody knows you're tired of me,  
Everybody knows we're through.  
Though I'm on my own I can't be free,  
Baby, I just live for you.  
Everybody knows you said goodbye,  
Everybody knows we're through...

"
18,"The Hullaballoos","Did You Ever","Tammy, did you ever  
Not so much that you could notice  
Well, could you estimate how many  
Eight or nine  
Well, will you do it anymore  
I said as you walked out the door  
Yeah, I just wonder did you ever  
All the time.  
  
Could I fix you one small  
No, thanks I just had one  
Then how about this ice cream  
Well, that'll be just fine  
Is there any special way  
Aw no, what ever you say  
I just wondered have you ever  
All the time.  
  
Does he look like  
No, he's taller and more handsome  
Well, is he as old  
Oh no, he's young and in his prime  
Does your mother know I'll bet  
Oh no, I haven't told her yet  
Well, I just wondered do you ever  
All the time.  
  
Just for old times sake  
No, that would make it harder  
Then how about  
Well, are you sure that you don't mind  
Hey, I know just the thing for us  
Oh no, I'm afraid I'd a-missed my bus  
I just wondered did you ever  
All the time.  
  
I just wondered did you ever  
All the time.

"
19,"The Kinks","Who'll Be The Next In Line","Who'll be the next in line?  
Who'll be the next in line for heartache?  
Who'll make the same mistakes I made over you?  
Who'll be the next in line?  
Who'll be the next in line for you?  
  
Who'll be the next in line?  
Who'll be the next to watch your love fade?  
All your affections finally fade away  
There will be no use inside  
Who'll be the next in line for you?  
  
One day you'll find out when I'm gone  
I was the best one you had  
I was the one who gave you love  
  
Who'll be the next in line?  
Who'll be the next in line for heartaches?  
Who will make the same mistakes I made over you?  
Who'll be the next in line?  
Who'll be the next in line for you?  
  
One day you'll find out when I'm gone  
I was the best one you had  
I was the one who gave you love  
  
Who'll be the next in line?  
Who'll be the next in line for heartaches?  
Who will make the same mistakes I made over you?  
There will be no use inside  
Who will next in line for you?  
  
For you, for you, for you  
For you, for you, for you  
For you

"
20,"The Kinks","You Really Got Me","Girl, you really got me now  
You got me so I don't know what I'm doin'  
Yeah, you really got me now  
You got me so I can't sleep at night  
  
Yeah, you really got me now  
You got me so I don't know what I'm doin', now  
Oh yeah, you really got me now  
You got me so I can't sleep at night  
  
You really got me  
You really got me  
You really got me  
  
See, don't ever set me free  
I always wanna be by your side  
Girl, you really got me now  
You got me so I can't sleep at night  
  
Yeah, you really got me now  
You got me so I don't know what I'm doin', now  
Oh yeah, you really got me now  
You got me so I can't sleep at night  
  
You really got me  
You really got me  
You really got me  
Oh no, come on  
  
See, don't ever set me free  
I always wanna be by your side  
Girl, you really got me now  
You got me so I can't sleep at night  
  
Yeah, you really got me now  
You got me so I don't know what I'm doin', now  
Oh yeah, you really got me now  
You got me so I can't sleep at night  
  
You really got me  
You really got me  
You really got me

"
21,"The Moody Blues","Stop!","We'll be together again  
I've been waiting for a long time  
We're gonna be we're gonna be  
Together again  
I've been connected to the right line  
We'll be together and nobody ain't never  
Gonna disconnect us or ever separate us  
Or say to us you've got to  
  
Stop!  
Stand there where you are  
Before you go too far  
Before you make a fool out of love  
Stop!  
Don't jump before you look  
Get hung upon a hook  
Before you make a fool out of love  
  
We'll be together again  
I've been waiting for a long time  
We're gonna be we're gonna be  
Together again  
I've been connected to the right line  
We'll be together and nobody ain't never  
Gonna disconnect us or ever separate us  
Or say to us you've got to  
  
Stop!  
Stand there where you are  
Before you go too far  
Before you make a fool out of love  
Stop!  
Don't jump before you look  
Get hung upon a hook  
Before you make a fool out of love  
  
We'll be together and nobody ain't never  
Gonna disconnect us or ever separate us  
Or say to us you've got to  
  
Stop!  
Stand there where you are  
Before you go too far  
Before you make a fool out of love  
Stop!  
Don't jump before you look  
Get hung upon a hook  
Before you make a fool out of love  
  
Stop!  
Stand there where you are  
Before you go too far  
Before you make a fool out of love  
Stop!  
Don't jump before you look  
Get hung upon a hook  
Before you make a fool out of love  
  
Stop!  
Stand there where you are  
Before you go too far  
Before you make a fool out of love  
Stop!  
Don't jump before you look  
Get hung upon a hook  
Before you make a fool out of love  
  
Stop!

"
22,"The Rolling Stones","Not Fade Away","I'm gonna tell you how it's gonna be  
You're gonna give your love to me  
I'm gonna love you night and day  
Well love is love and not fade away  
Well love is love and not fade away  
  
My love bigger than a Cadillac  
I try to show it and you're drivin' me back  
Your love for me has got to be real  
For you to know just how I feel  
Love is real and not fade away  
Well love is real and not fade away  
  
I'm gonna tell you how it's gonna be  
You're gonna give your love to me  
Love to last more than one day  
Well love is love and not fade away  
Well love is love and not fade away  
Well love is love and not fade away  
Love, love is love and not fade away  
Not fade away  
Not fade away

"
23,"The Rolling Stones","Street Fighting Man","Everywhere I hear the sound of marching, charging feet, boy  
'Cause summers here and the time is right for fighting in the street, boy  
Tell me what can a poor boy do  
'Cept for sing for a rock 'n' roll band  
'Cause in this sleepy L.A. town  
There's just no place for a street fighting man  
  
[Repeat: x3]  
A street fighting man  
  
Do you think the time is right for a palace revolution  
Where I live the game to play is compromise solution  
Well then what can a poor boy do  
'Cept for sing for a rock 'n' roll band  
'Cause in this sleepy L.A. town  
There's just no place for a street fighting man  
  
A street fighting man (x3)  
  
Well what else can a poor boy do? (x4)  
  
Hey my name is called disturbance  
I'll shout and scream, I'll kill the king, I'll rail at all his servants  
Well what can a poor boy do  
For sing for a rock 'n' roll band  
In this sleepy L.A. town  
There's just no place for  
For a street fighting man  
  
A street fighting man  
For a street fighting man  
A street fighting man  
For a street fighting man  
A street fighting man  
For a street fighting man  
A street fighting man  
For a street fighting man  
  
[Repeat: x8]  
A street fighting man

"
24,"The Rolling Stones","Time Is On My Side","You are the sunshine baby of my life  
Oh baby you are just the one  
Without you oh I can't go on  
You are the one, only the strong survive  
Oh Baby I can't let you go  
I promised you, my love will show  
  
Time is on my side  
Tonight it's our night  
Time is on my side  
Love we cannot hide  
  
You are the nearest thing to heaven girl  
Oh baby you are just the one  
Without you oh I can't be strong  
You are the only star in my new world  
Oh baby I can't let you go  
I promised you, my love will grow

"
25,"The Rolling Stones","We Love You","We've got to get a message to the stars above  
Like radios in heaven hearing just enough  
And every single tear drop along the way  
We put them in our pockets for a rainy day  
  
But here we are in truoble  
Like we always are  
Just praying for a mriacle  
And reaching for stars  
  
We love you  
Would die for you  
We need you  
Every day  
  
We got to get a message to the promised land  
Like semaphores in motion so they'll understand  
But every single vision that we saw today  
We didn't quite believe it in the usual way  
Yet here we are in heaven  
Who could wnat for more  
We always end up getting what we're asking for  
  
We love you  
Would die for you  
We need you  
Every day  
  
It's just another promise like we've heard before  
We're never really knowing what we're fighting for  
  
We love you  
Would die for you  
We need you  
Every day  
  
We love you  
Wouldn't leave you  
We miss you  
Far away  
  
We love you  
Would die for you  
We need you  
Every day  
  
We miss you  
Far away  
  
We love you  
Would die for you  
We need you  
Every day

"
26,"Tom Jones","Green, Green Grass Of Home","The old hometown looks the same  
As I step down from the train  
And there to meet me is my mama and papa  
And down the road I look and there runs Mary  
Hair of gold and lips like cherries  
It's good to touch the green, green grass of home.  
  
Yes, they'll all come to meet me  
Arms a-reaching, smiling sweetly  
It's good to touch the green, green grass of home.  
  
The old house is still standing  
Though the paint is cracked and dry  
And there's that old oak tree that I used to play on  
Down the lane I walk with my sweet Mary  
Hair of gold and lips like cherries  
It's good to touch the green, green grass of home.  
  
And then suddenly I awake and look around me  
At these cold grey walls that surround me  
And it's then that I realize that I was only dreaming  
For there stands a guard and there's the sad old padre  
Arm in arm we'll walk at daybreak  
And once again I'll touch the green, green grass of home.  
  
Yes, they'll all come to see me in the shade of that old oak tree  
As they lay me 'neath the green, green grass of home...

"
