"","Artist","Song","Lyrics","Label","Top_Topic"
"1102","The Who","My Generation","People try to put us d-down (Talkin' 'bout my generation) Just because we get around (Talkin' 'bout my generation) Things they do look awful c-c-cold (Talkin' 'bout my generation) I hope I die before I get old (Talkin' 'bout my generation)  This is my generation This is my generation, baby  Why don't you all f-fade away (Talkin' 'bout my generation) Don't try to dig what we all s-s-s-say (Talkin' 'bout my generation) I'm not trying to 'cause a big s-s-sensation (Talkin' 'bout my generation) I'm just talkin' 'bout my g-g-g-generation (Talkin' 'bout my generation)  My generation This is my generation, baby  Why don't you all f-fade away (Talkin' 'bout my generation) And don't try to d-dig what we all s-s-say (Talkin' 'bout my generation) I'm not trying to 'cause a b-big s-s-sensation (Talkin' 'bout my generation) I'm just talkin' 'bout my g-g-generation (Talkin' 'bout my generation)  This is my generation This is my generation, baby My my my generation  People try to put us d-down (Talkin' 'bout my generation) Just because we g-g-get around (Talkin' 'bout my generation) Things they do look awful c-c-cold (Talkin' 'bout my generation) Yeah, I hope I die before I get old (Talkin' 'bout my generation)  This is my generation (Talkin' 'bout my generation)  My generation (Talkin' 'bout my generation) This is my generation, baby (Talkin' 'bout my generation)  This is my generation (Talkin' 'bout my generation)  This is my generation (Talkin' 'bout my generation)  This is my generation (Talkin' 'bout my generation)  This is my generation (Talkin' 'bout my generation)",1,1
"354","Bobby Goldsboro","I Know You Better Than That","You know, you say you love me You're never gonna leave But I know, baby You got something up your sleeve  I know you better than that (I know you better than that) I know you better than that (I know you better than that) I know you better than that I've been keeping my eyes on you  Well, you know, you You want me to be your slave I tell you, baby You just better behave  I know you better than that (I know you better than that) I know you better than that now (I know you better than that) I know you better than that I've been keeping my eyes on you  Well, I've been keeping My eyes on you all day Just to make sure You didn't go astray now  I watched you talk To every boy in town Now I'm gonna put my foot down  You think you You're slipping round And being so cool I tell you, baby I ain't nobody's fool  I know you better than that (I know you better than that) I know you better than that now (I know you better than that) I know you better than that I've been keeping my eyes on you  Well, I've been keeping My eyes on you all day Just to make sure You didn't go astray now  I watched you talk To every boy in town Now I'm gonna put my foot down  You think you You're slipping round And being so cool I tell you, baby I ain't nobody's fool  I know you better than that (I know you better than that) I know you better than that now (I know you better than that) I know you better than that I've been keeping my eyes on you  Well, I know you better than that I've been keeping my eyes on you Walk on",3,2
"836","The Dells","Always Together","Just you, just me, always together I made up my mind years ago When I first gazed upon you I'd never let you go And it's amazing baby   How we loved each other so  And we'll always be (always be) Always together  We'll have our problems But we'll face them with pride Our love is protection And we don't have to hide  And a thousand nights I'll kiss away  (The happy tears you cry) And we'll always be (always be) Always together  Just you, just me Always, always, always,  Always, always, always,  When the years have turned   Your hair to silver And the days of our youth  Have left us so very far behind Golden, golden memories  Will keep in our minds And we'll always be (always be) Always together Just you, just me Always, always, always... etc.",3,3
"1028","Petula Clark","Round Every Corner","'Round every corner, 'round every corner 'Round every corner, 'round every corner 'Round every corner, 'round every corner 'Round every corner, 'round every corner  Stop feeling sad now, life ain't so bad, now 'Round every corner, 'round every corner While you're debating, somethings awaiting 'Round every corner, 'round every corner  When Columbus sailed away to other shores How could he imagine all that waited for him  'Round every corner 'Round every corner, 'round every corner  Leave all the blue days, think about the new days 'Round every corner, 'round every corner Everything is yours, now, open all the doors, now 'Round every corner, 'round every corner  Man will soon be standing on the moon above Just imagine all the things that he'll discover  'Round every corner 'Round every corner  You've gotta stop a sittin' there on the shelf You've gotta start lookin' out for yourself, yeah  'Round every corner, 'round every corner 'Round every corner, 'round every corner What's the use in crying? Happiness is lying 'Round every corner, 'round every corner And if you want a true love, look for a new love 'Round every corner, 'round every corner  Just forget the worries that you leave behind There are many things to do and you can find them  'Round every corner, 'round every corner 'Round every corner, 'round every corner 'Round every corner, 'round every corner 'Round every corner, 'round every corner",1,4
"229","The Beach Boys","Dance, Dance, Dance","After six hours of school I've had enough for the day I hit the radio dial and turn it up all the way  I gotta dance (dance dance dance now the beat's really hot) right on the spot (Dance dance dance right there on the spot) The beat's really hot (Dance dance dance now the beat's really hot) Dance (dance) dance (dance) dance (dance) yeah!  When I feel put down I try to shake it off quick With my chick by my side the radio does the trick  I gotta dance (dance dance dance now the beat's really hot) right on the spot (Dance dance dance right there on the spot) The beat's really hot (Dance dance dance now the beat's really hot) Dance (dance) dance (dance) dance (dance) yeah! Oh man!  At a weekend dance we like to show up last I play it cool when it's slow and jump in when it's fast  I gotta dance (dance dance dance now the beat's really hot) right on the spot (Dance dance dance right there on the spot) The beat's really hot (Dance dance dance now the beat's really hot) Dance (dance) dance (dance) dance (dance) yeah!  (Dance dance dance now the beat's really hot) (Dance dance dance right there on the spot) (Dance dance dance now the beat's really hot) Dance (dance) dance (dance) dance (dance) yeah! (Dance dance dance now the beat's really hot) (Dance dance dance right there on the spot) (Dance dance dance...)",3,5
"586","Aretha Franklin","Chain Of Fools","Chain, chain, chain (Chain, chain, chain) Chain, chain, chain (Chain, chain, chain) Chain, chain, chain (Chain, chain, chain) Chain of fools  For five long years I thought you were my man But I found out I'm just a link in your chain  You got me where you want me I ain't nothin' but your fool Ya treated me mean Oh you treated me cruel  Chain, chain, chain (Chain, chain, chain) Chain of fools  Every chain, has got a weak link I might be weak yeah But I'll give you strength Oh, hey  You told me to leave you alone My father said, ""Come on home"" My doctor said, ""Take it easy"" Oh but your lovin' is much too strong I'm added to your  Chain, chain, chain (Chain, chain, chain) Chain, chain, chain (Chain, chain, chain) Chain, chain, chai-i-in (Chain, chain, chain) Chain of fools  One of these mornings The chain is gonna break But up until the day I'm gonna take all I can take, oh hey  Chain, chain, chain (Chain, chain, chain) Chain, chain, chain (Chain, chain, chain) Chain, chain, chai-i-in (Chain, chain, chain) Chain of fools  Chain, chain, chai-i-in Chain, chain, chain Chain, chain, chai-i-in Chain of fools",3,6
"232","The Beach Boys","Good Vibrations","I, I love the colorful clothes she wears And the way the sunlight plays upon her hair I hear the sound of a gentle word On the wind that lifts her perfume through the air  I'm pickin' up good vibrations She's giving me excitations I'm pickin' up good vibrations (Oom bop, bop, good vibrations) She's giving me excitations(Oom bop, bop, excitations) Good good good good vibrations (Oom bop, bop) She's giving me excitations(Oom bop, bop, excitations) Good good good good vibrations (Oom bop, bop) She's giving me excitations (Oom bop, bop, excitations)  Close my eyes She's somehow closer now Softly smile, I know she must be kind When I look in her eyes She goes with me to a blossom world  I'm pickin' up good vibrations She's giving me excitations I'm pickin' up good vibrations (Oom bop, bop, good vibrations) She's giving me excitations (Oom bop, bop, excitations) Good good good good vibrations (Oom bop, bop) She's giving me excitations (Oom bop, bop, excitations) Good good good good vibrations (Oom bop, bop) She's giving me excitations (Oom bop, bop, excitations)  (Ah) (Ah my my what elation) I don't know where but she sends me there (Ah my, my, what a sensation) (Ah my, my, what elations) (Ah my, my, what)  Gotta keep those lovin' good vibrations A happenin' with her Gotta keep those lovin' good vibrations A happenin' with her Gotta keep those lovin' good vibrations A happenin'  Ah Good good good good vibrations (Oom bop, bop, I'm pickin' up good vibrations) She's giving me excitations (Oom bop, bop, excitations) Good good good good vibrations (Oom bop, bop) She's na, na   Na, na, na, na, na Na, na, na Na, na, na, na, na Na, na, na Do, do, do, do, do, Do, do, do Do, do, do, do, do, Do, do, do",3,7
"868","The Association","Everything That Touches You","In my most secure moments I still can't believe I'm spending those moments with you And the ground I am walking, the air that I breathe Are shared at those moments with you  You love for real You show the feel Of everything that touches you  In the songs I've been singing quite often a phrase Comes close to the feeling of you But I never suspected that one of those days The wish of the song would come true  You love for real You show the feel Of everything that touches you  You are of gracefulness You are of happiness You are what I would guess to be most like What I've been singing of  Love, love, love  In the songs I've been singing quite often a phrase Comes close to the feeling of you But I never suspected that one of those days The wish of the song would come true  You love for real You show the feel Of everything that touches you  Love, love, love, love Everything is love Love, love, love, love, love, love, love, love, love, love, love, love Everything is love Love, love, love, love, love, love, love, love, love, love, love, love Everything is love Love, love, love, love, love, love, love, love, love, love, love, love",3,8
"1151","The Kinks","Dedicated Follower Of Fashion","They seek him here, they seek him there, His clothes are loud, but never square. It will make or break him so he's got to buy the best, 'Cause he's a dedicated follower of fashion.  And when he does his little rounds, 'Round the boutiques of London Town, Eagerly pursuing all the latest fads and trends, 'Cause he's a dedicated follower of fashion.  Oh yes he is (oh yes he is), oh yes he is (oh yes he is). He thinks he is a flower to be looked at, And when he pulls his frilly nylon panties right up tight, He feels a dedicated follower of fashion.  Oh yes he is (oh yes he is), oh yes he is (oh yes he is). There's one thing that he loves and that is flattery. One week he's in polka-dots, the next week he is in stripes. 'Cause he's a dedicated follower of fashion.  They seek him here, they seek him there, In Regent Street and Leicester Square. Everywhere the Carnabetian army marches on, Each one an dedicated follower of fashion.  Oh yes he is (oh yes he is), oh yes he is (oh yes he is). His world is built 'round discotheques and parties. This pleasure-seeking individual always looks his best 'Cause he's a dedicated follower of fashion.  Oh yes he is (oh yes he is), oh yes he is (oh yes he is). He flits from shop to shop just like a butterfly. In matters of the cloth he is as fickle as can be, 'Cause he's a dedicated follower of fashion. He's a dedicated follower of fashion. He's a dedicated follower of fashion.",1,9
"813","Jan & Dean","Drag City","Burn up that quarter mile Just tuned my car, now she really peels A-lookin' real tough with chrome reverse wheels A Blue Coral wax job sure looks pretty Gonna get my chick and make it out to Drag City   Yeah  I'm goin' to Drag City (run her through, now) Goin' to Drag City (what'll she do now) Goin' to Drag City (run her through, now) Goin' to Drag City (what'll she do now) Burn up that quarter mile  The DJ's sayin' on my favorite station The Drag City races are the fastest in the nation Wheels are the wildest and the stockers are pretty I'll get my honey, grab some money, split to Drag City  Well I'm goin' to Drag City (run her through, now) Goin' to Drag City (what'll she do now) Goin' to Drag City (run her through, now) Goin' to Drag City (what'll she do now) Burn up that quarter mile  'Round the dragway thick exhaust fills the air The final teams tachin' up and action everywhere Checkered flags, wheelstands, sure sounds pretty To hear the cheers, bring your ears out to Drag City  Well I'm goin' to Drag City (run her through, now) Goin' to Drag City (what'll she do now) Goin' to Drag City (run her through, now) Goin' to Drag City (what'll she do now) Burn up that quarter mile  Well, I'm goin' to Drag City (run her through, now) Goin' to Drag City (what'll she do now) Goin' to Drag City (run her through, now) Goin' to Drag City (what'll she do now) Burn up that quarter mile Burn up that quarter mile  Listen to 'em whine ",3,10
"390","Johnny Cash","A Boy Named Sue","I want you to uh, I want to a,  If you don't mind Carl, I'd like you to stay out and help us on some songs I'd love to One of the greatest guitar players as well as song writers and singers in Memphis Appreciate a little help on guitar, alright. Thank you Carl  Well,my daddy left home when I was three And he didn't leave much to ma and me Just this old guitar and an empty bottle of booze Now, I don't blame him cause he run and hid But the meanest thing that he ever did Was before he left, he went and named me Sue  Well, he must o' thought that is quite a joke And it got a lot of laughs from a' lots of folk It seems I had to fight my whole life through Some gal would giggle and I'd get red And some guy'd laugh and I'd bust his head, I tell ya, life ain't easy for a boy named Sue  Well, I grew up quick and I grew up mean My fist got hard and my wits got keen I'd roam from town to town to hide my shame But I made a vow to the moon and stars That I'd search the honky-tonks and bars And kill that man who gave me that awful name  Well, it was Gatlinburg in mid-July And I just hit town and my throat was dry I thought I'd stop and have myself a brew At an old saloon on a street of mud There at a table, dealing stud Sat the dirty, mangy dog that named me Sue  Well, I knew that snake was my own sweet dad From a worn-out picture that my mother'd had And I knew that scar on his cheek and his evil eye He was big and bent and gray and old And I looked at him and my blood ran cold And I said, ""My name is Sue, how do you do Now you're gonna die""  (yeah, that's what I told him)  Well, I hit him hard right between the eyes And he went down, but to my surprise He come up with a knife and cut off a piece of my ear But I busted a chair right across his teeth And we crashed through the wall and into the street Kicking and a' gouging in the mud and the blood and the beer  I tell ya, I've fought tougher men But I really can't remember when He kicked like a mule and he bit like a crocodile I heard him laugh and then I heard him cuss He went for his gun and I pulled mine first He stood there lookin' at me and I saw him smile  And he said, ""Son, this world is rough And if a man's gonna make it, he's gotta be tough And I knew I wouldn't be there to help ya along So I give ya that name and I said goodbye I knew you'd have to get tough or die And it's the name that helped to make you strong""  He said, ""Now you just fought one hell of a fight And I know you hate me, and you got the right To kill me now, and I wouldn't blame you if you do But ya ought to thank me, before I die For the gravel in ya guts and the spit in ya eye 'Cause I'm the son-of-a-bitch that named you Sue""  Well what could I do? What could I do? I got all choked up and I threw down my gun And I called him my paw, and he called me his son And I came away with a different point of view And I think about him, now and then Every time I try and every time I win And if I ever have a son, I think I'm gonna name him.. Bill or George! Any-damn-thing but Sue!  Alright, thank you very much",3,1
"100","Sam & Dave","I Thank You","(I want everybody to get up off your seat) (And get your arms together, and your hands together) (And give me some of that o-o-old soul clapping)  You didn't have to love me like you did  But you did, but you did.  And I thank you.   You didn't have to squeeze me like you did  But you did, but you did.  And I thank you.   If you took your love to somewhere else I wouldn't know what it meant to be loved to death You made me feel like I've never felt  Kisses so good I had to holler for help   You didn't have to squeeze me but you did  But you did but you did  And I thank you.   You didn't have to hold me but you did  But you did but you did  And I thank you.  Every day was something new,  You pull out your bag and your fine to-do  You got me trying new things too  Just so I can keep up with you.  You didn't have to shake me like you did  But you did but you did  And I thank you.   You didn't have to make it like you did  But you did but you did  And I thank you.  All my life I've been shortchanged  Without your love baby, it's a crying shame  And now I know what the fellas are talking about When they say that they been turned out  I want to thank you (thank you) Thank you (oh, baby) Thank you baby (yeah, yeah) Oh baby (I gotta be thanking) Got to say  You didn't have to love me like you did  But you did, but you did.  (And I thank you.)  You didn't have to hold me like you did  But you did, but you did.  (And I thank you.)   Thank you (thank you, baby) Baby (Got to thank you) Baby (oh, baby) Thank! I've! Got! I've got to (thank you baby) Thank you baby (oh baby)",3,2
"704","Stevie Wonder","Shoo-Be-Doo-Be-Doo-Da-Day","Your precious sweetheart, she's so faithful, she's so true, oh yeah, Her dreams are tumblin', her world is crumblin' because of you, uhh uh. One day you'll hurt her just once too much, And when you finally lose your tender touch, hey, hey,  Shoo-be-doo-be-doo- be-doo-da-day Her feet may wander, her heart may stray, oh yeah, Shoo-be-doo-be-doo- be-doo-da-dee. You gonna send your baby straight to me,  I'm gonna give her all the lovin' within my heart, oh yeah, I'm gonna patch up every single little dream you tore apart, understand me? And when she tells you she's cried her last tear, Heaven knows I'm gonna be somewhere near, oh yeah,  Shoo-be-doo-be-doo- be-doo-da-day Her feet may wander, her heart may stray, baby, Shoo-be-doo-be-doo- be-doo-da-dee. Love's gon' send your baby straight to me, yeah, hum, yeah,  You'd better listen to me, yeah, yeah. Heartaches are callin' tears are fallin' because of you, hey, yeah, And when you're gone she'll know I'm the one to go to her rescue Baby you didn't know that thing.  You're gonna leave her once too many times and when you come back That girl's gonna be mine, all mine, hey, hey. Shoo-be-doo-be-doo- be-doo-da-day Her feet may wander, her heart may stray, yeah, yeah  Shoo-be-doo-be-doo- be-doo-da-dee. Love's gon' send your baby straight to me, hey, hey.",3,3
