,artist,song,text
10,Culture Club,Love Hurts,"Not everybody knows which way the river flows  
Not everybody sees the sun up in the sky  
Maybe you and I should not try to plan our lives  
If only what we could see what we hold in our hands  
  
Love hurts 'cause you can't let it go  
Love hurts 'cause you need it so  
Love hurts yes it hurts, but it's good for fools  
Love hurts every night and day  
Love feelings never go away  
Real love, it is here to stay with you  
Yes it's true  
  
Everybody cries until the day they die  
And everybody feels like they're the only one  
Maybe you and I should not try to plan our lives  
If only we could see what's in front of our eyes, yeah  
  
Love hurts 'cause you can't let it go  
Love hurts 'cause you need it so  
Love hurts yes it hurts, ooh yeah  
Love hurts every night and day  
Love feelings never go away  
Real love, it is here to stay with you  
Yes it's true  
  
Maybe you and I should not try to plan our lives  
If only we could see what's in front of our eyes  
  
Love hurts 'cause you can't let it go  
Love hurts 'cause you need it so  
Love hurts yes it hurts, but it's good for fools  
Love hurts every night and day  
Love feelings never go away  
Real love, it is here to stay with you  
Yes it's true  
  
I guess it's useless to say, love hurts  
Why won't this pain go away, love hurts  
Love hurts  
  
Love hurts 'cause you can't let it go  
Love hurts 'cause you need it so  
Love hurts yes it hurts, ooh yeah  
Love hurts every night and day  
Love feelings never go away  
Real love, it is here to stay with you

"
11,Culture Club,Next 2 You (Demo),"It doesn't matter if I say you're right even when you're wrong  
Or paint you as a hero or the chicks in every song  
I roll my eyes to heaven, I recognize your flaws  
But after all is said and done, I just want you more  
  
Some people say I must be blind  
But I'll have you over them any time  
  
Oh, I wanna get next 2 you  
Oh, I wanna get next 2 you  
I wanna get next 2 you  
  
While searching for perfection, I fell foul of your charms  
Ti caro mi amigo, I want to leave, I can't  
These shoes are getting heavy, this cross is hard to bear  
At least a life of misery is something we can share  
  
Some people say I must be blind  
But I'll have you over them any time  
  
Oh, I wanna get next 2 you  
Oh, I wanna get next 2 you  
Oh, I wanna get next 2 you, yes, I do  
Oh, I wanna get next 2 you  
I wanna get next 2 you  
  
Some people say I must be blind  
But I'll have you over them any time  
  
Oh, I wanna get next 2 you  
Oh, I wanna get next 2 you  
Oh, I wanna get next 2 you, yes, I do

"
12,Culture Club,Sign Language,"I'm not hungry, I eat  
When I'm tired, I can't sleep  
When I'm nervous, I speak  
It seems the only thing to do  
In the morning, I rise  
Wipe the dream from my eyes  
Contemplate your demise  
There's just no getting through  
  
Always dream, don't apologize  
Life is sweet, never close your eyes  
The truth it seems, must have passed you by  
At least a million times  
  
Gimme a sign, gimme a reason to be here  
I'm leading the blind, when will you make your motives clear  
Gimme a sign (gimme gimme, gimme a sign)  
After all this time why can't we get it right  
  
So you made me, a 'creep' (ow)  
I'm not losing any sleep (ow)  
Cause my scars are much too deep (ow)  
Don't start getting precious on me (yeah)  
  
In the morning, I rise  
While your life is, paralyzed  
In the sweet smell of disguise  
There's just no getting through to you  
  
Always dream, don't apologize  
Life is sweet, never close your eyes  
The truth it seems must have passed you by  
At least a million times  
  
Gimme a sign, gimme a reason to be here  
I'm out of my mind, so shallow and always insincere  
Gimme a sign (gimme gimme, gimme a sign)  
After all this time why can't we get it right  
  
Hey!  
  
(gimme gimme gimme a sign)  
Gimme gimme gimme yeah!  
(gimme gimme gimme a sign)  
Gimme gimme gimme yeah, yeah, yeah  
(gimme gimme gimme a sign)  
After all this time why can't we get it right  
  
Another drive by love affair  
Why don't you tell someone who cares  
If you care  
  
Gimme a sign, gimme a reason to be here  
I'm out of my mind, when will you make your motives clear  
Gimme a sign (gimme gimme gimme a sign)  
After all this time why can't we get it right  
  
(gimme a sign)  
(gimme gimme gimme a sign)  
Gimme gimme yeah yeah  
(I'm out of my mind, gimme gimme gimme a sign)  
Gimme gimme gimme yeah  
(gimme a sign)  
(gimme gimme gimme a sign)  
  
After all this love why can't we get it right  
Let's get it right

"
13,Culture Club,Stormkeeper,"Ooh I have love sweeter than lies  
Gave you no reason not to decide  
Say you are leaving, you've got too much pride  
It's not love if you have it to hide it  
  
Oh woe who is the man  
Who puts waves on the sand  
It's the stormkeeper, stormkeeper  
Liven my life  
When I need to survive  
Is the storm keeping you warm  
Keeping you warm  
  
Oh I have cried so many times  
But only for things that never were mine  
Heaven is sweet, love is unkind  
Thoughts are twisted inside of your mind  
  
Don't let them tell you  
That this love is wrong  
And don't let them fool you  
That this love can't go on

"
14,Culture Club,Take Control,"No defeat  
Your dance is sweet  
'Cause you ripped it from my soul  
I'll kiss you  
And we will throw a view  
It's the only way to take control  
  
Boy I'm sweet  
When you've got me beat  
I can't turn it  
I feel cold  
It's for you, that my love is true  
Got to blind a boy  
To take control  
  
[Chorus:]  
Take control (Take it)  
Take control (Take it)  
Take control (Take it)  
Take control  
  
I was there  
But you didn't care  
And I know  
You're using me  
(If it's true get the best of you)  
  
[Chorus]  
  
Take control (God would let this thing go)[Repeat: x3]  
  
[Chorus]  
  
Take control (God would let this thing go)[Repeat: x3]  
  
No defeat  
Your dance is sweet  
'Cause you ripped it from my soul  
I'll kiss you  
And we will throw a view  
It's the only way to take control.

"
15,Culture Club,The Dive,"When I wake up feeling victimized  
There is nothing  
That can stop my eyes  
From crying  
  
When you put the pressure  
Down on me  
Cause I don't quite fit  
You imagery  
I'm trying  
  
Baby I'm no superman  
  
[Chorus:]  
Eyes like a deep blue sea  
To dive in  
Love that you give to me  
We're surviving  
Surviving  
When love is gone  
I can't carry on  
  
When you know that love  
Is on my mind  
It's a perfect chance  
To be unkind  
You do it  
  
Being sly you take a chance  
On crime  
But the master has a new design  
On loving, living  
Out and in the enemy  
  
[Chorus]  
  
Eyes that open wide  
Do you do  
Love you give the child  
Do you do  
Why do you do that to me?  
  
When I wake up feeling victimized  
There is nothing  
That can stop my eyes  
From crying  
  
When you put the pressure  
Down on me  
Cause I don't quite fit  
Your imagery  
I'm trying  
  
I'm no superman  
  
[Chorus]

"
16,Culture Club,You Know I'm Not Crazy,"Say your mind has an overload  
Your heart beats rhythm  
Hot and cold  
Your stature has a naked bucks  
When you're near  
You're not like us  
  
[Chorus:]  
You know I'm not crazy  
You know I'm not crazy  
  
I caught on to the way you smile  
Love could only last a while  
I couldn't love  
I couldn't touch  
The situation  
Was too much  
  
[Chorus]  
  
Your love fails me  
Your love, it fails me  
Your love fails me  
Your love, it drives me crazy  
  
Don't tell me that lovers always mistrust  
The lies in your eyes  
The death in your lust  
It's more than distraction  
You touch you feel  
Our hearts dance apart  
And you say this is real  
You know I'm not crazy  
  
Talk about the love we feel  
The passion that our hearts conceal  
Kiss and run  
The fools we trust  
Love inside a blinding lust  
  
[Chorus]  
  
Hold me to my every word  
Forget about the things you heard  
Time will conquer  
Time will state  
We owe every tear to fate  
  
[Chorus]  
  
Your love fails me  
Your love, it fails me  
Your love fails me  
Your love, it drives me crazy

"
17,Def Leppard,20Th Century Boy,"Friends say it's fine  
Friends say it's good  
Everybody says it's just like Robin Hood  
I walk like a rat  
Crawl like a cat  
Sting like a bee  
Babe I'm gonna be your man  
  
And it's plain to see  
You were meant for me  
Yeah, I'm your toy  
Your 20th Century boy  
  
Friends say it's fine  
Friends say it's good  
Everybody says it's just like Robin Hood  
Fly like a plane  
Drive like a car  
Ball like a hound  
Babe I'm gonna be your man  
  
And it's plain to see  
You were meant for me  
Yeah, I'm your toy  
Your 20th Century boy  
20th Century boy, I wanna be your toy [4x]  
  
Friends say it's fine  
Friends say it's good  
Everybody says it's just like Robin Hood  
I walk like a rat  
Crawl like a cat  
Sting like a bee  
Babe I'm gonna be your man  
  
And it's plain to see  
You were meant for me  
Yeah I'm your toy  
Your 20th Century boy  
20th Century boy, I wanna be your toy [Repeat x4]

"
18,Def Leppard,Action! Not Words,"I'm sick and tired of the damn TV  
I'm gonna make my own movie  
I want to star in a late night show  
And all I need is my video  
  
Shock me! Make it electric!  
Shock me! Make it last  
  
Curtain up let the camera roll  
It's automatic it's in control  
Got no script baby, ain't no lines  
Just me and you and a real good time  
  
Oh shock me! Make it electric  
Shock me! Make it last  
Shock me! Gimme thunder 'n' lightning  
Shock me! Ooh babe I need it fast  
  
[Chorus]  
Cause all I want is some  
Action, action, action, not words  
Gimme action, action, action not words  
  
C'mon and shock me, let the cameras roll!  
  
Oh! I'll be the hero, you be the star  
With your wine and your caviar  
No audition, a starring roll  
I'll be your Bogart 'n' you be Monroe yeah  
  
Shock me! Make it electric  
Shock me! Oh bump and grind  
Shock me! Make a night to remember  
Shock me! Do it one more time  
  
So cut me in on the action  
  
Lights, camera, sound, I need action!  
  
[Chorus]

"
19,Def Leppard,Animal,"A wild ride, over stony ground  
Such a lust for life, the circus comes to town  
We are the hungry ones, on a lightning raid  
Just like a river runs, like a fire needs a flame  
I burn for you  
  
[Chorus]  
I gotta feel it in my blood, whoa oh  
I need your touch don't need your love, whoa oh  
And I want, and I need,  
And I lust, animal  
And I want, and I need,  
And I lust, animal  
  
Cry wolf, given mouth to mouth  
Like a movin' heartbeat in the witching hour  
I'm runnin' with the wind, a shadow in the dust  
And like the drivin' rain, yeah, like the restless rust  
I never sleep  
  
[Chorus]  
  
Huh!  
Ah!  
  
Cry wolf, baby cry tough  
Gonna hunt you like an, an, an, an, an animal  
Gonna take you love 'n' run  
  
Cry wolf, given mouth to mouth  
Like a movin' heartbeat in the witching hour  
I'm runnin' with the wind, a shadow in the dust  
And like the drivin' rain, yeah, like the restless rust  
I never sleep  
  
[Chorus]  
  
And I want, and I need,  
And I lust, animal  
Take me, tame me  
Make me your animal  
Show me, stroke me  
Let me be your animal  
I want, ooh yeah, animal

"
20,Def Leppard,Another Hit And Run,"Union Jack is back with a hole in his head  
He's gettin' badly burned every time  
He's laughin' at me and dancin' on my sneakers  
And his sixties songs are blowin' up my speakers  
  
I say you got no respect  
Respect for authority  
You're just playing your dirty tricks  
And then come cryin' to me  
  
[Chorus]  
Hit and run, hit and run  
It's just a hit and run  
Another hit and run  
  
The bulldog lost his bite and his breath has gone bad  
And the whole damn world is really laughin' mad  
  
[Chorus]  
  
Hit it!!  
Oh bring it down  
Oh you bring it down  
  
I say you ain't got no respect  
I say you ain't got no respect  
No you ain't got no respect  
And you hit me when I'm down  
  
Hit and run, hit and run  
It's just another hit and run  
I said it's just another hit and run  
  
Oh yeah, hit and run  
Oh yeah, hit and run  
Oh yeah, hit and run  
Oh yeah, hit and run  
Oh yeah, hit and run  
It's just another hit and run  
Hit and run

"
21,Def Leppard,Blood Runs Cold,"I heard this line one time 'bout tryin' to save the world  
But have you ever tried to save yourself  
A wide-eyed suicide drive  
Remains a fake  
As if you'd ever  
Ever go and make the same mistake  
Strung out as the night comes crawlin'  
Your halo of thorns is fallin'  
  
[Chorus]  
Blood runs cold  
I feel it in my bones  
But you don't know your time is up  
Blood runs cold  
  
Somebody somewhere is screamin' out the words  
But do they ever really ease the pain  
I guess what I'm trying to say  
Is whose life is it anyway because livin'  
Living is the best revenge  
You can play  
This fall from grace  
I see your face  
It's over  
  
[Chorus]  
  
From you love was kind  
Resolved left scarred and blind  
Wasted and naked in the wings  
  
Denying twist of fate  
Demanding Heaven's gate  
Lying in wait above the wind  
  
Strung out as the night comes crawlin'  
Your halo of thorns is fallin'  
  
[Chorus]  
  
Blood runs cold  
Blood runs cold

"
22,Def Leppard,Come Undone,"C'mon in, welcome, enter  
We've got you front roll center  
For the freak show parade  
  
Everybody wants to be you  
But I know you see right through it  
Sad mascaraed  
  
Wrap your arms around me like a wire  
You reach into my soul pull out the fire  
  
[Chorus]  
When I come undone I know you're the only one  
Who can touch me when I call out your name  
When I come undone I know you're the only one  
Who can put me back together again  
  
You've got what it takes to make me  
So won't you come and shake me out of this haze  
All to know those dreams you're sellin'  
God knows, man, he's not tellin'  
He's had better days...  
  
Awaitin' here your voice above me callin'  
You dragged me to my knees, but I'm still fallin'  
  
[Chorus]  
  
I can't close my ayes  
Can't hide the tear  
I feel the earth beneath my feet disappear  
I'm out of words, I'm out of time  
Give me your hand  
Reach out for mine  
  
Wrap your arms around me like a wire  
You reach into my soul pull out the fire  
  
[Chorus]  
  
Who can put me back together again

"
23,Def Leppard,Desert Song,"Dark and dirty  
Like you have never seen  
A mind so twisted  
With thoughts so unclean.  
My heart is racing  
All tattered and torn  
I stand here naked  
As the day I was born.  
  
Over and over I stand  
I'm holding the world in my hand  
I got to believe  
  
The sky is falling  
On this setting son  
Echoes of silence  
Ringing loud and long  
This isolation  
Is the king of pain  
A lost horizon  
In an ocean of flames  
  
Only the lonely will stand  
I'm holding the world in my hand  
I got to believe  
  
I've been here before,  
But not as I stand here today  
I wait for the dawn  
Ready to walk  
Into the light

"
24,Def Leppard,Fractured Love,"I'm caught in a dream  
Sometimes it ain't what it seems  
I'm all in a daze  
Can't find my way out of this maze  
I'm looking for clues  
And wanting a change in the rules  
I'm locked in a cage  
Acting out on the wrong stage  
  
Don't want your sympathy  
Don't need the third degree  
Just got to break away and scream  
I'm caught in a dream  
  
I'm stood at the edge and I'm looking down  
Caught in the danger zone  
I feel like a king that has lost his crown  
And now I stand here alone  
  
Don't want your sympathy  
Don't need the third degree  
Just got to break away and scream  
I'm caught in a dream!!!  
  
Fractured love, fractured love  
Iron fist in a velvet glove  
Fractured love, fractured love  
Cracks in the mirror of this fractured love  
  
I don't care if you pull down the sky  
Angry passion is a friend of mine  
Reach out for the sky above  
It's just a fractured love  
  
Fractured love, fractured love  
Iron fist in a velvet glove  
Fractured love, fractured love  
Cracks in the mirror of this fractured love  
  
I'm caught in a dream  
Why don't you set me free!  
  
Don't want your sympathy  
Don't want your third degree  
Just got to break  
Break away and scream!  
  
I'm caught in a dream  
Why don't you set me free  
  
Fractured love, fractured love  
Iron fist in a velvet glove  
Fractured love, fractured love  
Cracks in the mirror of this fractured love  
  
Don't give me your fractured love!

"
25,Def Leppard,Immortal,"Released on the cd-single for ""goodbye""  
  
Do you have the will to walk on water  
Do you have the strength to part the waves  
Do you have the lips to kiss a blood red rose  
'fore the colors start to fade  
But are you tough enough to walk through the fire  
Are you (? ? ? ) split the hangman's noose  
  
Wanna ride, gonna slide, take it over the line  
Hit the pin, kick it in  
I'm gonna win again  
  
I don't wanna live forever  
I just want a slice of the pie to call my own  
I don't wanna live forever  
Do you wanna be, like I wanna be  
Immortal  
  
Do you have the bread to feed the hunger  
Do you have to choose to turn water to wine  
Do you have the tears to cry me a river  
Build a bridge to the other side  
But are you holding out for the late edition  
Gonna read all about it cause it's frontpage news  
So high, bone dry, got a thirst for life  
Kiss the skin, drink it in  
I'm gonna win again  
  
I don't wanna live forever  
I just want a slice of the pie to call my own  
I don't wanna live forever  
Do you wanna be, like I wanna be  
Immortal  
  
Just like the gates of heaven  
There's no way back, there's no way back  
I'm ten miles high got the keys to the kingdom  
I'm back on track  
Got a life and I'm living it  
  
Do you have the (game? ? ) to the tell me a secret  
Or will I read all about it when it's frontpage news  
  
Wanna ride, gonna slide, take it over the line  
Hit the pin, kick it in  
I'm gonna win again  
  
I don't wanna live forever  
I just want a slice of the pie to call my own  
I don't wanna live forever  
Do you wanna be, like I wanna be  
I don't wanna live forever  
I just want a slice of the pie to call my own  
I don't wanna live forever  
Do you wanna be, like I wanna be immortal  
I don't wanna live forever  
Cause I wanna be immortal  
Do you wanna be immortal  
I don't wanna live forever  
Like I wanna be immortal  
Don't you wanna be immortal  
I don't wanna live forever  
Cause I wanna be immortal  
Do you wanna be immortal  
I don't wanna live forever  
Like I wanna be immortal

"
26,Def Leppard,Lady Strange,"Ow  
Ooh yeah  
Oh  
I never needed love before  
Till I met you girl  
A girl like you I have never seen  
You came into my life like a whirlwind girl  
You let me know what lovin' really means  
  
Lady strange, oh lady strange I want you  
Lady strange, oh lady strange I need you  
  
You got me where you want me girl  
So no messin' around  
You know I never played that hard to please  
I've been here many times before  
And walked this sacred ground  
But this time you got me on my knees  
You got me  
  
Lady strange, oh lady strange I want you  
Lady strange, oh lady strange I need you  
Lady strange, oh lady strange I want you  
Lady strange, oh lady strange I want you  
I need you  
  
Oh you're so strange  
Oh oh oh  
Taking love from you's like taking candy from a baby  
But lady strange there is no stranger lady  
No  
Just you and me we make love, good love  
So let me know what lovin' really means  
Woman please  
  
Lady strange, oh lady strange I want you  
Lady strange, oh lady strange I need you  
  
I need you  
I want you  
Yeah

"
27,Def Leppard,Little Wing,"Well she's walking through the clouds  
With a circus smile that's running round  
Butterflies and zebras and moonbeams and fairy tales  
That's all she ever thinks about  
She's riding with the wind  
  
When I'm sad she comes to me  
With a thousand smiles she gives to me free  
It's alright, she says, it's alright  
Take anything you want from me, anything  
Anything, yeah  
  
Well she's walking through the clouds  
With a circus smile that's running round  
Oh, butterflies and zebras and moonbeams and fairy tales  
That's all she ever thinks about  
She's riding with the wind, yeah  
  
Yeah yeah yeah yeah little wing

"
28,Def Leppard,Love And Affection,"You got the fire, baby, I got the heat, can you handle it?  
I got the time, baby, you got the need, oh surrender it  
Oh, it's a passion crime with a danger sign, oh, can you handle it?  
  
You're just another girl, I'm just another man, it's just  
Another night  
Whoa yeah  
Don't gimme love and affection or what you think it should be  
Don't gimme love, the wrong reason, yeah, it don't matter to me  
  
I got the heart, baby, you got the beat, take a chance on me  
We got the night baby, we got the dream, oh imagine it  
Oh, it's a passion crime with a danger sign, oh, can you handle it?  
  
You're just another girl, I'm just another man, it's just  
Another night  
Whoa yeah  
Don't gimme love and affection or what you think it should be  
Don't gimme love, the wrong reason, yeah, it don't matter to me  
  
I don't need your understandin'  
Oh babe can't you understand me  
C'mon try it and see  
  
Oh  
It's a passion play in a diff'rent way, oh can you handle it,  
Yeah  
  
You're just another girl, I'm just another man, it's just  
Another night  
Whoa yeah  
Don't gimme love and affection or what you think it should be  
Don't gimme love, the wrong reason, yeah, it don't matter to me  
  
I don't need your understandin'  
Oh babe can't you understand me?  
I don't need it  
Don't need your heart  
I don't need no understandin'  
No affection  
  
Don't give me love, and affection  
Don't gimme love, gimme what you got I don't need your  
Understandin'  
  
Give me all you got  
Give it all, give it all  
Give it all  
Don't give me love  
I don't need the wrong reason

"
