"","Artist","Song","Lyrics","Label"
"74","Dionne Warwick","(Theme From) Valley Of The Dolls","Gotta get off, gonna get Have to get off from this ride Gotta get hold, gonna get Need to get hold of my pride When did I get, where did I How was I caught in this game When will I know, where will I How will I think of my name  When did I stop feeling sure, feeling safe And start wondering why, wondering why Is this a dream, am I here, where are you What's in back of the sky, why do we cry  Gotta get off, gonna get Out of this merry-go-round Gotta get off, gonna get Need to get on where I'm bound When did I get, where did I Why am I lost as a lamb When will I know, where will I How will I learn who I am Is this a dream, am I here, where are you Tell me, when will I know, how will I know When will I know why?",3
"83","Dionne Warwick","Who Can I Turn To","Who can I turn to, when nobdy needs me. My heart wants to know, and so I must go Where destiny leads me.  With no star to guide me, and no one beside me,  I'll go on my way, and after today,  The darkness will hide me.  And maybe tomorrow, I'll find what I'm after. I'll throw off my sorrow, beg, steal or borrow My share of laughter.  With you I could learn to, with you on a new day,  But who can I turn to, if you turn away.  With you I could learn to, with you on a new day,  But who can I turn to, if you turn away.",3
"88","Dionne Warwick","You'll Never Get To Heaven (If You Break My Heart)","Mother told me always to follow the golden rule And she said it's really a sin to be mean and cruel So remember if you're untrue Angels up in heaven are looking at you  You'll never get to heaven if you break my heart So be very careful not to make us part You won't get to heaven if you break my heart  I've been hearin' rumors about how you play around Though I don't believe what I hear, still it gets me down If you ever should say goodbye I'd feel so awful the angels would cry  You'll never get to heaven if you break my heart So be very careful not to make us part You won't get to heaven if you break my heart (If you break my heart, if you break my heart)  I can hardly wait for the day when we say I do It's a day I dreamed of so long now comin' true You will promise to cherish me If you break your promise the angels will see  You'll never get to heaven if you break my heart So be very careful not to make us part You won't get to heaven if you break my heart  La la la la la la laa la la la laa La la la laa La la la la la la laa la la la laa La la la laa La la la la la la laa la la la laa",3
"89","Dionne Warwick","Another Night","Find me a rose that never fades and dies And I'll show you a man who never ever cheats and lies Find me a star and if you can prove The star you've found just never disappears I'll show you a man who'll Never, never, ever, ever bring you tears Another night when I'm all alone Another night without him Another night when I stay at home I worry so about him Oh, I love him, and my love makes me proud I need him, if he doesn't come back I know I'll surely die Find me a cloud that never brings you rain And I'll show you a man who never, ever brings you pain Find me a bird and if you can prove That bird you've found has no wings but still can fly I'll show you a man who'll Never, never, ever, ever leave you high and dry Another night when I'm all alone Another night without him Another night when I stay at home I worry so about him Oh, I love him And my love makes me proud I need him, if he doesn't come back I'll die And he'll never, never, ever take me in his arms Another night when I'm all alone Another night without him Another night when I stay at home I worry so about him Another night when I'm all alone Another night without him Another night when I stay at home I worry so about him Another night when I'm all alone Another night without him Another night, another night I worry so about him ",3
"97","Dionne Warwick","The Beginning Of Loneliness","I keep staring at the door and I keep waiting for the bell That used to say you've come to call once more The beginning's begun, the beginning of loneliness  Just look around and you'll see an empty chair There in the corner of the room Where you would wait 'til I walked down the stair The beginning's begun, the beginning of loneliness  You've gone away And loneliness just fills my life and never goes away My empty arms reach for you Oh, won't you think it over, my love'  Can't we start again' Think it over, come back Just how many tears do I have to cry' You've got to love me, if you don't love me I'll die  The beginning's begun, the beginning of loneliness  You've gone away And loneliness just fills my life and never goes away My empty arms reach for you Oh, won't you think it over, my love'  Can't we start again' Think it over, come back Just how many tears do I have to cry' You've got to love me, if you don't love me I'll die You know I've said, you've got to love me, if you don't love me I'll die  The beginning's begun, the beginning of loneliness",3
"106","Dionne Warwick","I'll Never Fall In Love Again","What do you get when you fall in love? A guy with a pin to burst your bubble That's what you get for all your trouble I'll never fall in love again I'll never fall in love again  What do you get when you kiss a guy? You get enough germs to catch pneumonia After you do, he'll never phone ya I'll never fall in love again  Dontcha know that I'll never fall in love again?   Don't tell me what it's all about 'Cause I've been there and I'm glad I'm out Out of those chains, those chains that bind you That is why I'm here to remind you   What do you get when you fall in love? You only get lies and pain and sorrow So far at least until tomorrow I'll never fall in love again  No, no, I'll never fall in love again  Ahh, out of those chains, those chains that bind you That is why I'm here to remind you   What do you get when you fall in love? You only get lies and pain and sorrow So far at least until tomorrow I'll never fall in love again  Dontcha know that I'll never fall in love again  I'll never fall in love again",3
"110","Dionne Warwick","I Say A Little Prayer","The moment I wake up Before I put on my makeup I say a little prayer for you While combing my hair, now, And wondering what dress to wear, now, I say a little prayer for you  Forever, forever, you'll stay in my heart and I will love you Forever, forever, we never will part Oh, how I'll love you Together, together, that's how it must be To live without you Would only be heartbreak for me.  I run for the bus, dear, While riding I think of us, dear, I say a little prayer for you. At work I just take time And all through my coffee break-time, I say a little prayer for you.   Forever, forever, you'll stay in my heart and I will love you Forever, forever we never will part Oh, how I'll love you Together, together, that's how it must be To live without you Would only be heartbreak for me.  My darling believe me, For me there is no one But you.",3
"118","Dionne Warwick","Anyone Who Had A Heart","Anyone who ever loved could look at me And know that I love you Anyone who ever dreamed could look at me and know I dream of you Knowing I love you so  Anyone who had a heart  Would take me in his arms and love me, too You couldn't really have a heart and hurt me,  Like you hurt me and be so untrue What am I to do  Every time you go away, I always say This time it's goodbye , dear Loving you the way I do I take you back, without you I'd die dear Knowing I love you so  Anyone who had a heart  Would take me in his arms and love me, too You couldn't really have a heart and hurt me,  Like you hurt me and be so untrue What am I to do  Knowing I love you so  Anyone who had a heart  Would take me in his arms and love me, too You couldn't really have a heart and hurt me,  Like you hurt me and be so untrue Anyone who had a heart would love me too Anyone who had a hear would take me in his arms and love me too Why won't you",3
"121","Brenda Lee","Ain't Gonna Cry No More","Ain't gonna cry no more Writers jon hall, johanna hall, don schlitz  Baby, I got news that's gonna lay ya low Since you thought I'd never ever let ya go I don't know what I was waiting for But, I ain't gonna cry no more It not easy not to say goodbye But all you ever did was make me cry I don't like it like it was before But, I ain't gonna cry no more If you try to treat me bad Maybe there would be, a little love there But no, you kept on lying And I kept on crying But, I ain't gonna cry no more - oh no It don't really matter what you say I ain't listening to you anyway So go on and sail your boat to shore Cause I ain't gonna cry no more Oh no I ain't gonna cry no more Oh I ain't gonna cry no more",3
"127","Brenda Lee","No One","No one ever kissed me the way you do Ah, no one ever told me I love you, no one ever cared Ah, no one ever said all those dreams That I dreamed would come true Ah, no one ever hurt me the way you do Ah, no one ever broke my heart in two I'll keep on caring my whole life through For no one, no one, but you  No one ever hurt me the way you do No one ever broke my heart in two I'll keep on caring my whole life through For no one, no one, but you",3
"172","Brenda Lee","As Usual","The Sun comes up and brings the dawn As usual When I awake I'll find you gone As usual  But I can't find a way to let This crazy heart of mine forget I pretend you're still beside me  As usual  Each evening I take a walk As usual I make believe that we still talk As usual  People always stop and stare  I  guess they just don't see you there Don't they know you'll always be right here As usual  Today I looked into my mirror As usual  I told myself that you're still here As usual  And as I stood there telling lies The tears began to fill my eyes Cause I know I'm only fooling myself As usual",3
"212","Brenda Lee","Coming On Strong","Coming on strong Coming on strong I can feel the heartahces Coming on strong  I Can feel the teardrops The pain and sorrow Ever since you've been gone They've been coming on strong  Pain (pain) Come on in (come on in) Hello sorrow, I see you're back again (back again) Teardrops (teardrops) glad you dropped by (you dropped by) Cause you can help drown my pride  And since you're here (da da da) The time seems to fly (da da da) To let you know you're gonna be with me Til I lose my mind  But you've been gone (da da da) Much too long (da da da) And I can feel the heartaches Coming on strong  Only thing you left me  Was misery for company Memories of a love gone wrong That keep coming on strong (coming on strong)  Coming on strong ",3
"222","Brenda Lee","My Dreams","Each night in my dreams You come back to me But I wake up every morning Feeling so blue  Empty arms tell me That we are really through My dreams don't ever come true  In my dreams Our love is as it used to be There's no doubt in mind That you really care for me  Then empty arms tell me That we are really through My dreams don't ever Ever come true  Baby, since you said goodbye I'm left here Just my dreams and I  But how long can I survive Can just a dream keep my Lonely, lonely heart alive  Tonight in my dreams You'll come back to me But when I awaken Can I stand the misery  When empty arms tell me That we are really through My dreams, they don't ever come true  No, no, no, my dreams They never, never come true",3
"236","Brenda Lee","Johnny One Time","So he told you  That your the dream That he's been searching for And he told you That he'd never met  Anyone like you before And I can hear him telling you Your lips taste just  Like cherry wine But did he tell you That he's known as Johnny One Time?  Did he tell you that your heart  Would soon become another trinket on his bracelet Of broken hearts? Did he tell you that the morning sun Would find you patching up your shattered pride and Searching for the missing part Did he tell you that the special love your saving Will disappear in flames of shame like mine Did he tell you  That he's known as Johnny One Time?  So, he told you That he'd never lead  Your heart astray And he told you That he'd love you Forever and a day And I can hear him telling you That he's the shy and bashful kind But did he tell you  That he's known as Johnny One Time?  Oh, Did he tell you that your heart  Would soon become another trinket on his bracelet Of broken hearts And did he tell you that the morning sun Will find you patching up your shattered pride And searching for the missing part Did he tell you that the special love your saving Will disappear in flames of shame like mine Oh, Did he tell you That he's known as Johnny One Time?  Did he tell you that your heart Would soon become another trinket on his bracelet Of broken hearts? Did he tell you that the morning sun Will find you patching up your shattered pride  And searching for the missing part Oh, did he tell you that the special love your saving Will disappear in flames of shame like mine Did he tell you that he's known as Johnny One Time?",3
"262","Brenda Lee","Is It True","Listen to the talk that's going around town Everywhere you go they're spreading it around Saying that you've gone and found another one Is it true, my love? What about the ring you gave me yesterday? Is it hard for me to throw it all away As you said goodbye, if you have no lie Is it true my love?  Don't you know, don't you know You're making me blue Baby, baby say it isn't, say it isn't true Coming down the street the story looks the same Everyone I meet is whispering your name Saying that you've gone and found another one Is it true, my love? Saying that you've gone and found another one Is it true, my love?  Don't you know, don't you know You're making me blue Baby, baby say it isn't, say it isn't true Coming down the street the story looks the same Everyone I meet is whispering your name Saying that you've gone and found another one Is it true, my love?",3
"314","Brenda Lee","Alone With You","To be alone with you Oh, just, just we two For my, my dream come true Is to be alone with you  But, you, oh, you don't know What is on, what's on my mind For I, I tried to tell you For so many, many times  One day I won't be afraid I'll tell you I love you so And I wonder, darling If you will feel the same Yes, I can only hope  I'll, I'll, I'll be alone Alone with you And you're gonna say You love me too  Oh, my, my dream come true Is just to be alone with you Oh, my, my dream come true Is to be alone with you",3
"320","Gene Chandler","(I'm Just A) Fool For You","People getting smarter Every day, yeah Things around me changing In every way, yeah  I get the feeling Time is passing me by And I'll be left alone Here to cry  I'm just a fool for you, girl Always just a fool for you, girl  I know that you don't love me But still you won't tell me so Cause you like to see me suffer Cause you know I can't let you go  Yeah, this magic spell You cast on me Sometimes I wonder How long it's gonna be  I'm just a fool for you, girl Always just a fool for you, girl  Just a fool for you  Now maybe one day, yeah You'll realize, yeah The mistake you made You might even apologize, yeah  Until the day You have a change of heart I'll be right here Til death do us part  I'm just a fool for you, girl Always just a fool for you, girl Always gonna be a fool for you...",3
"321","Gene Chandler","Just Be True","We're kids no more baby, we belong you and me together I vowed never to do you wrong, and shall always keep you happy, (together)  Now dear the things that I need are very few  But there is one thing, that I demand of you Just be true, to me, just be true  Don't be offended from the things I've said For I know it will never be that bad But my dear, I couldn't help but let 'cha know That if you should leave me, it would hurt me so  nah nah nah nah  I've given you all of me, and and plan to give even more, baby My true love and a sweet affection, and there's even more in store, baby  Now all these things for you alone I'd do And I'd need nothing in return, just as long as you Just be true, to me, just be true To me, wo oh wo ooh wo baby,  (fade) to me, be be be be be be be be true",3
"322","Gene Chandler","What Now","What now after you've done me like you did  Already out stringing along like an infatuated kid You always do me wrong with no explanation  There's never any love nor conversation So after holding in my fear And fighting off my tears What now, what now  I've tried making my life complete with you But it seems there's no value toward people true to you  I cried to you, I can't take it too much longer But every hurt and bit of dirt makes you stronger So after holding in my fear And fighting off my tears,  What now, what now  Because so very loud In front of all the crowd Don't know from day to day  What now, what now, what now So after holding in my fear And fighting off my tears, What now, what now",3
"325","Gene Chandler","I Fooled You This Time","Whoa, I, whoa, I Whoa, I fooled you this time The last laugh is mine  I know that now you see What lonelieness can be You've got a taste of a pain Hey, mama, for a change  I'm gonna, I'm gonna Be with my new someone Having lots of fun  Cause I fooled you this time The last laugh is mine  I'm tired of staying at home While you choose to roam The last laugh is on you Here's what I'm gonna do  I'm gonna, I'm gonna Be with my new someone Having lots of fun, yeah Yeah, yeah, yeah, yeah  Whoa, I, whoa, I Whoa, I fooled you this time The last laugh is mine  I know you knew I knew You don't know which way to go And so called friends Don't stop to talk They just pass and grin  I'm gonna, I'm gonna Be with my new someone Having lots of fun, yeah Yeah, yeah, yeah, yeah  Whoa, I, whoa, I Whoa, I fooled you this time The last laugh is mine  Cause I fooled you this time The last laugh is mine  Yeah, don't you know I Don't you know I Fooled you this time, baby  Yeah, ha ha ha The last laugh is mine...",3
"328","Gene Chandler","There Was A Time","One, two, three, four  There was a time When I used to dance There was a time When I used to prance  Dig me now, baby, ha Don't worry bout later, ha Here's a dance I used to do They call the mash potato, oh  Lookie here There was a dance They call the jerk Everybody relax And watch me work  All right, lookie here  In my home town Up here with the boys The name of the place Is Chicago, Illinois  Up there, we have a good time We don't talk, ha Instead we all get together Any type of weather Then we do the camel walk, wow  All right, lookie here  Now there was a dance That I used to do now The name of the dance They call the boogaloo, ha  I may not do the dance As well as you, ha But you can bet your bottom dollar You'll never hear me holler I'll do the best that I can do, wow  All right, lookie here  There was a time Sometimes I danced Sometimes I danced Baby, sometimes I danced Baby, baby, baby, yeah  They call me the woman handler They call me the woman handler But you can bet you Haven't seen nothing yet Until you've seen me do The Gene Chandler, wow",3
"333","Gene Chandler","Good Times","Early evening and the weather's fair Dark glasses and don't give a care Finger popping out on the street All dressed and neat  My buddy pulls up in a Cadillac Driving slow with the top left back Patiently, the girls, they wait For their heavy date   And it's gonna be good times It's gonna be good times It's gonna be good times Good times  To a slow stop at the first girl's door I don't plan to be back til four The old folks, they don't worry, you see They have trust in me    Today I'm gonna get my bread For tonight I've got to look my best My girl would be full of smiles When the music begins We're gonna dance awhile  Fast music and the room smoked up Double clutch in an old beer cup Digging music from the old hi-fi Giving her the eye    Yeah, yeah, yeah, yeah...",3
"336","Gene Chandler","To Be A Lover","(To be a lover) (To be a lover)  Haven't I proven in many ways That with you is where I want to be Haven't I shown you every day Just how much you mean to me  But you keep on leading me Leading me astray Is this the price That I have to pay  To be a lover, baby (To be a lover) To be a lover, baby (To be a lover)  Haven't I done just what you wanted And I been there whenever you call Haven't I tried to please you, baby Haven't I given you my all and all  I ask myself every day Is this the price That I have to pay  If I'm not, I'm not The one that you wanted Then why won't you turn me Loose, loose, loose, baby  Why do you wanna hold Hold on to me When you know it ain't no use  It seems you wanna keep me Your puppet on a string Sometimes, baby It's a hurting thing  To be a lover (To be a lover) Oh, to be a lover (To be a lover)  Don't you know it's so Rough and tough out here Trying to be your lover, baby (To be a lover)  So why won't you turn me Loose, loose, loose, baby",3
"337","Gene Chandler","Girl Don't Care","I know it hurts It truly, truly hurts When you know The girl don't care  You cry, cry her a river But she don't care You know the girl don't care  Silently, you wait Not wanting to complain Convincing yourself Convincing yourself That things will change  But meanwhile It hurts, it hurts It truly, truly hurts When you know The girl don't care  (The girl don't care) You cry like a baby (The girl don't care) But she don't care (The girl don't care)  You're getting nowhere You're getting nowhere Oh, you're getting nowhere  What can the future hold The future hold, hold for you Oh, we're lonely, lonely Lonely, lonely, baby Lonely and forever blue  They say, they say They say, they say That you and I That you and I We shouldn't cry  But I just wanna tell you now Come on, fellas, come on now Let's tell the truth  Let's tell them, tell them Tell them, tell them that it hurts Oh, my, my, my, my, my, my My, my, my, my, how it hurts Oh, you know the girl don't care  (The girl don't care) You bend over backwards You do everything you can (The girl don't care) To make her happy but The girl, she just don't care  (The girl don't care) My, my, my, my No matter what you do (The girl don't care) The girl, she just She just don't really care  Come on, fellas Let's tell them how it hurts Let's tell them how it hurts And then maybe, the girl She just might care",3
"338","Gene Chandler","There Goes The Lover","(There goes the lover) (There goes the lover)  There's no need in denying I know the girls will be crying Got to bid goodbye Even though it hurts my pride  You know the fellas Are jealous, you see Cause all the girls Are sweet on me  Here's what they'll be saying  (There goes the lover) There goes the lover (There goes the lover) They're talking bout me  (There goes the lover) Can't you hear them saying (There goes the lover)  The girls are broken hearted For me, they poor grieve Happy, the guys Cause they know I'm gonna leave  All the fellas Know my games uptight And with the women I'm right, right, right  Here's what they'll be saying  (There goes the lover) Talking bout the lover (There goes the lover) Can't you hear them saying (There goes the lover) They're talking bout me (There goes the lover)  The guys say I think I'm neat But when they say it?  The girls know that I'll be gone And there's no one around To take my throne  And they need me (And they need me) And they need me (And they need me)  Here's what they'll be saying  (There goes the lover) Talking bout the lover (There goes the lover) Talking bout me (There goes the lover) Yeah, talking bout...",3
"341","Gene Chandler","Bless Our Love","God bless our love (God bless our love)  And God forgive us Our temptations He knows that we have Been tempted beyond And above humiliation (God bless our love)  Will he be by our side When we need a guide And as he blessed The stars above Oh, God bless our love  When our emotions Are playing games And we don't know Right from wrong  As we began feeling ashamed We'll get down on Our knees and pray And thank God every day For showing us the Right way to love and believe  That he'll be by our side And as he's blessed The stars above Oh, God bless our love  (God bless our love) God bless our love (God bless our love) God bless our love (God bless our love) God bless our love",3
"342","Gene Chandler","You Can't Hurt Me No More","(No, no)  You can't hurt me no more No matter what you might say You can't hurt me no more After all the pain you sent my way  Cause I've got another who loves me And she's just the opposite of you Hear me now  You can't hurt me no more Cause it doesn't matter Now what you do Got ahold of yourself Crying ain't gonna help you now  Ashamed that we end this way And this is all that I can say  You can't hurt me no more Give up cause I don't feel a thing You can't hurt me no more Go find another who'll play your game  Cause I've got another who loves me And she's just the opposite of you Hear me now  You can't hurt me no more Cause it doesn't matter Now what you do  You can't hurt me no more, baby",3
"344","Sam & Dave","Soul Sister, Brown Sugar","Oh, you're sweeter than the honey that the bees make Soul sister, you're brown sugar Sweeter than the icing on the best cake Soul sister, you're brown sugar I was in the dark but now I see What was always in front of me I was always proud But now I'm saying it loud Keep on giving it to me Love and affection to the bone, to the bone Soul sister, you're brown sugar Keep on socking it to me all night long Soul sister, you're brown sugar Girl, you're always there with your man It's 'bout time he took your hand I wanna show you 'Cause I can't stand the blow Keep on giving it to me Somebody said, ""What's in the dark Will surely come to the light"" Now your days are brighter And your burden's lighter And the whole world knows you out of sight Wooh lord Love and affection to the bone, to the bone Soul sister, you're brown sugar Keep on socking it to me all night long Soul sister, you're brown sugar Girl, you're always out there with your man It's about time he took your hand I wanna show you 'Cause I can't stand the blow Keep on giving it to me Keep on giving me brown sugar I got to have it I just got to have brown sugar You know what baby, huh I can't help but more brown sugar You're brown to the bone Don't you know I need brown sugar Oh lord, yeah I just got to have brown sugar You sweeter than icing on a cake I just got to have brown sugar ",3
